Level	Rule Name	Subject	Property	Value
ERROR	missing_label	http://connectdigitalstudy.com/ontology#CommunicationProxyMeasurement	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#Computation	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#ComputationalLayer	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#ContactCountMeasurement	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#ContactListChangeEvent	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#ContactListMetadata	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#ContextualLayer	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#ContextualSituation	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#ContextualSituationX	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#DailyInterval	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#DataInterface	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#DataRecordVolume	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#DataSet	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#DataTransferEvent	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#DelayedSleepPhase	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#DepressionRisk	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#DerivedFeature	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#DerivedFeatureLayer	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#Device	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#DeviceContextMetadata	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#DeviceEngagementFeature	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#DeviceInteractionMeasurement	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#DeviceLocationEstimate	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#DigitalPhenotype	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#DigitalPhenotypingLayer	rdfs:label	
